Protein.Group	16.01184_CD14plus	16.01184_CD14plusFlow	16.01184_CD34plus	16.01184_MSCflow	17.01060_CD14plus	17.01060_CD14plusFlow	17.01060_CD34plus	17.01060_CD34plusFlow	17.01060_MSCflow	18.00103_CD14plus	18.00103_CD14plusFlow	18.00103_CD34plus	18.00103_CD34plusFlow	18.00103_MSCflow	18.00105_CD14plus	18.00105_CD14plusFlow	18.00105_CD34plus	18.00105_CD34plusFlow	18.00105_MSCflow	18.00190_msc_f_30K	18.00260_cd14_f_20K	18.00290_cd14_b_20K	18.00290_cd34_b_20K	18.00290_cd34_f_20K	18.00390_cd14_b_20K	18.00390_cd34_b_20K	18.00390_cd34_f_20K	18.00390_msc_f_8K	19.00019_cd14_b_20K	19.00019_cd14_f_19K	19.00019_cd34_b_20K	19.00019_cd34_f_20K	19.00019_msc_f_10K	19.00019_msc_f_20K	19.00074_CD14plus	19.00074_CD14plusFlow	19.00074_CD34plus	19.00074_CD34plusFlow	19.00074_MSCflow	19.00406_cd14_b_12K	19.00406_cd34_b_20K	19.00406_cd34_f_19K	19.00431_cd34_f_30K	19.00431_msc_f_10K	20.00083_cd14_b_20K	20.00083_cd34_b_20K	20.00450_cd14_b_20K	20.00450_cd34_b_20K	21.00034_cd14_b_20K	21.00034_cd34_b_20K	21.00176_cd14_b_15K	21.00176_cd34_b_15K	21.00432_CD14plus	21.00432_CD14plusFlow	21.00432_CD34plus	21.00432_CD34plusFlow	21.00432_MSCflow	21.00839_CD14plus	21.00839_CD14plusFlow	21.00839_CD34plus	21.00839_CD34plusFlow	21.00839_MSCflow	22.00117_CD14plus	22.00117_CD14plusFlow	22.00117_CD34plus	22.00117_CD34plusFlow	22.00117_MSCflow	22.00251_CD14plus	22.00251_CD14plusFlow	22.00251_CD34plus	22.00251_CD34plusFlow	22.00571_CD14plus	22.00571_CD14plusFlow	22.00571_CD34plus	22.00571_CD34plusFlow	22.00571_MSCflow	22.00697_cd34_b_20K	23.00083_cd14_b_20K	23.00083_cd34_b_20K
A0A024R4E5	2917581.8010115516	1175603.8000612475	1502238.2625412715	3754600.1774971113	2366036.285573834	3334843.6390707544	1397540.9382425677	1643147.0129940123	2146043.8632322075	2031397.1863378284	6026708.741229427	3841495.800623156	4165241.7566456506	1774087.0537301262	3563019.3026748197	3482998.1134589035	3346609.1668699277	1279958.4499146699	3370705.522731821	3279932.909296626	3533094.9942542007	2466551.484227557	2844194.159905574	2734853.06600869	2261177.0288255773	1672394.711013709	2099632.2007581596	2288313.351586044	2592038.446659522	3657579.420137968	2458052.593892037	2854607.111618917	2183943.4551909002	2534580.914946004	2900489.616738715	3392211.1128126346	2006108.0870525835	2446523.761021847	2031194.9313535558	3595143.374356813	2175127.490363309	2540768.077715854	2434231.3984726598	2182215.663873172	2277948.086759178	2303205.6385088754	3424953.333362145	2605315.330480899	3466602.125528977	1574370.3710362997	1461891.2810824139	1706547.8388245483	1435804.933827025	3224276.0683596972	2170736.6419315943	1840099.2856534142	893580.9718510633	3141579.418367178	3239287.829517614	1209943.604669317	3353821.519938936	2367194.9196532285	1973202.1249929022	3244864.9378420427	1569830.6638283997	2148170.941904552	2356661.745629931	835221.5075710631	1457684.1156082598	1980489.5921074932	NA	2908991.4685549177	3802141.119815336	3148385.0137543012	3608808.3567926767	3637564.1043126057	1994657.339939229	2150738.864533738	3256223.4038022785
A0A067XG54	284165.70854176715	NA	632474.0140610456	178902.86723306635	178225.86559822268	163275.0032494244	388711.00134727836	NA	262475.0740168569	790111.9356260982	NA	457562.47494825727	333037.397279095	NA	253761.8726541068	NA	448303.24157303653	NA	294429.4911458073	105152.59911398156	215767.49891949462	218020.09932268577	200294.23193417455	177668.10706279174	701580.7521529905	724478.6804796235	356983.75634406524	281780.91627660807	240377.10249514066	206387.14086036276	152650.27381924202	180053.7633606655	193114.933690688	193633.39010216313	1153146.045543689	NA	517977.10807697667	214007.00673042866	NA	276318.22582384635	289444.67793572875	326175.53354900255	596309.0948563315	466284.6734217414	243651.91839076043	164235.33294052628	345984.9084305842	503396.33300172864	386132.39947111224	1291595.1102190993	216639.53310026997	264042.4145849301	662365.5320730832	133137.9717366222	399153.0079979865	461022.7214105729	NA	252542.87996755115	335607.5724656824	673850.7228485646	322877.65862102277	322962.85887443484	477299.3798623229	276946.1992787276	632714.418256427	NA	159918.2205856991	683735.2537469014	NA	419981.12110925955	NA	495554.99559293926	197114.7769335701	550683.3275287901	159265.0408045457	334001.13605798344	245258.02255783815	203312.79416255324	237764.02468531753
A0A075B6F9	70029.06004487436	NA	NA	NA	NA	NA	65509.990283997926	NA	NA	NA	NA	65433.40772483541	125939.05968486436	NA	57633.60268078005	NA	NA	NA	NA	55716.13401619784	NA	26007.3649534614	26468.374811762464	NA	NA	NA	NA	NA	128942.7485107731	107620.5371288878	131600.59461476837	141786.94274283721	NA	174753.98421070725	NA	NA	NA	NA	NA	NA	NA	168395.01767544134	NA	NA	101123.62151211302	178668.38225485236	123614.96662997053	124969.78932639486	73831.24269516658	NA	NA	104348.68081200572	NA	NA	NA	70640.58589065768	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	49354.95747523767	NA	NA	124624.81497365111	145141.39487370205	170240.76781110774
A0A075B6H4	203622.42716249032	NA	242336.69813028228	178295.34446382092	190829.1912062767	NA	226356.0825128648	NA	NA	NA	NA	283201.0130673764	242953.74561695982	NA	175446.0663958546	NA	187056.7446749224	NA	172161.23897075272	188099.8366469649	164269.70402741357	227749.14655556672	237408.7945803625	240397.06101029878	336077.3533523106	399839.7837567044	333573.9861401283	285456.58868918	NA	NA	269903.54873872927	290538.66267426667	210195.50218682305	149969.86396739833	NA	NA	117541.06839081486	214657.04927562733	NA	NA	194543.17134155266	422431.6458588226	369177.234665393	167583.8207311282	309661.671883043	390880.8303187047	165454.32579384476	316563.7803453629	187320.6276941704	NA	NA	221699.76292649546	403431.0695214163	195613.91826259898	297286.3609021901	373136.7486057879	385401.261860174	191029.195306565	154809.03603817825	212954.39564895944	211730.25981807974	155406.34647523466	NA	NA	200954.4717997201	NA	NA	NA	NA	169753.300801426	NA	NA	NA	195864.3092042497	NA	186316.03342289155	164021.59014703668	NA	175151.01749753376
A0A075B749;A0A087WX83;A0A087WVF8	527708.3148024211	NA	181931.62210413802	NA	448226.4548168271	382744.76851849194	173229.85776496056	NA	252195.9213275056	NA	NA	210884.32402730323	176044.40056350274	NA	248464.4226338237	NA	155976.93084694794	NA	247751.2192936336	269845.69085938873	284228.4193851972	218644.8053528034	177462.51759404712	171877.40334633173	295283.93461253756	232461.51066514794	176305.89013075942	NA	295452.5800816152	513590.9238356392	259612.01582337057	299345.00957267225	288539.4132850096	273735.81278913293	249282.98295638838	NA	174574.89883740875	210512.14162833113	NA	236454.8266960566	177616.51432877875	246772.39498630096	288238.5091746057	183646.37593284133	377500.2614222306	441593.84068350337	410484.96512085485	539931.388588739	353211.4486067913	153137.32462428542	NA	180308.5116882053	167659.99271195798	292216.81179961987	349162.42059903196	288605.41834484774	435079.26960369083	331015.52331144584	407120.63574483694	272156.6481436183	314346.2381271652	455249.2429684927	238953.76543811467	345673.8494730642	NA	NA	NA	NA	NA	NA	NA	NA	NA	256131.5492735319	NA	253063.54577107477	292248.2518805099	416607.2485553646	202561.88357632287
A0A075B7D6	261910.98033297027	NA	281200.13040774444	208756.86450445937	252095.19138878692	165357.42783293306	340543.45889136096	NA	179515.5756205492	69550.40103671093	218723.68406759505	29942.443511155536	254206.7641430183	NA	256866.94232869035	187338.14406809153	331155.29161871603	NA	262639.0474406379	125966.68652177618	NA	17413.738219231403	116927.86151053011	99106.32388437093	NA	52488.88665047612	NA	NA	66372.97909033662	NA	NA	NA	NA	NA	NA	NA	6277.396255090117	11061.159405972992	NA	NA	NA	NA	NA	NA	96097.12933337278	NA	95544.99689556278	72658.31413450168	11226.5481859685	53550.60323013025	NA	NA	375385.9470041962	279698.112148093	37949.93175535239	6385.734296629412	1000974.1977289998	NA	NA	217129.42128959496	16541.02581593673	202812.6527343624	267927.45592269086	NA	230626.96248435738	NA	NA	NA	NA	217720.57099813764	NA	126809.31518269333	138910.95805603635	198848.81928826618	NA	142314.62684436364	NA	162998.61444611842	54433.01344674463
A0A087WT20	3086553.7199890655	NA	8530297.671716781	6250369.391693435	2377985.9637838	1513913.1440860892	6521857.711798664	NA	3387967.3951953053	4334713.681083081	1822548.2835257817	5093696.089224071	4359772.278247232	4052176.1113608577	1637062.922850593	3815222.548896526	4780870.238385616	NA	3741592.214553447	4682535.798140577	1259532.354447115	5590081.634814788	4548539.515268832	3731452.064638974	9233139.534371115	11645825.517990192	4300859.508004617	9164308.060216567	4553056.297690329	1754043.5366329201	6145131.484730105	7159725.966946622	5465185.329331375	6175356.042770986	2648711.0041745906	2063595.0936276827	8201964.037330023	5200340.36159233	4290187.425101904	2797470.938171397	6421254.027402331	5258799.044574691	5591291.33448306	6246721.616016083	7233294.8726476105	4807662.2551398715	1658625.1991753837	2852371.0945782205	1808196.7876987536	10852455.955687117	7829458.002038693	6314227.003650829	11066203.880227823	2418207.0512697697	8864788.38066307	8068127.6370957345	3961859.807582626	1336842.3056881616	1610003.1771709553	9146597.48767875	3014055.2875268185	1775396.1897399235	2580341.2403753293	1511583.0455785948	7328866.584844574	NA	3127532.4100883263	4421760.922435039	NA	2966041.2848624084	NA	1371506.488177542	NA	3813816.5466298102	2026484.6926605038	2647669.610352125	4333221.117799017	1998563.944873331	4642090.111994952
A0A087WT35	595809.6305476563	NA	263605.8252896294	NA	2222640.1470542084	545761.4537209541	1915148.6931472246	NA	1639339.0621912722	644054.4779284091	NA	588647.6826177537	NA	NA	201425.0780081502	NA	225732.94558384526	NA	285169.3231255908	NA	229613.81561600947	NA	NA	NA	NA	NA	NA	NA	223439.5389075494	403093.1573372863	NA	NA	307063.5151381121	385648.29993363813	NA	NA	388390.5145793898	151916.1247085527	NA	650315.3736466626	763622.4708349297	NA	NA	860790.999108985	241229.3044065487	NA	449423.8842448704	1167899.9757328155	318419.1745580409	586293.9976589953	432261.6291143103	240789.63368854686	110469.43082335012	NA	NA	NA	NA	1314561.6005933592	179565.48609001844	NA	166124.8632675373	249815.4598594588	1507728.8031997092	261068.53096797	1282775.9138712045	NA	781859.976402146	136843.26499167425	NA	136552.41082416198	NA	759970.0900904177	NA	1112363.1594336946	NA	879178.9690648887	299094.28270471503	1308704.3090794932	801914.3065217222
A0A087WTD5	184880.06190950552	NA	353822.4044444257	NA	109266.9015776983	332221.3580463092	137595.66948630457	NA	164679.0603383055	122800.3592021372	204070.61949360397	338728.66756003076	289817.2925679671	NA	134065.82359956423	NA	260331.89563511865	NA	265227.61838091066	618657.9243606925	243569.00714316347	351356.8011457608	422982.69338159065	350171.2818733798	683279.1026398571	677082.8789529188	222702.11759493168	599876.3705240384	249171.5879963721	361720.6520326032	341270.397778341	229257.44252605733	399924.79085282976	314352.47195114265	419888.67438706337	NA	220875.16335982617	111766.18780955698	NA	NA	NA	215862.47413014495	315496.58592178207	NA	370659.93958445557	260542.87045988443	358068.1007095114	505215.5618100818	537037.6557633135	1069960.4463353485	NA	243778.2255912879	536548.3970960983	213910.5654102387	139452.21331847692	172615.46760417952	NA	187535.5807476993	160014.07026185855	NA	168345.3999993663	153194.09522304957	NA	220592.36789549663	NA	NA	NA	720583.2614338609	NA	208794.28852375748	NA	NA	NA	NA	NA	NA	98039.93023855788	NA	NA
A0A087WTJ2	779193.7277344794	NA	564057.2522658799	NA	908629.6317296125	1873864.5210016603	1687401.2809891752	NA	661307.3906103083	1295615.528294207	NA	594576.5326282736	414657.82695437525	NA	858219.0025588751	810924.4810762284	684048.9923474482	NA	921543.2540123996	351096.3183595204	3116808.8771064226	309040.45946728875	346165.56851775915	457867.7097079212	4155408.662622445	3324476.9356588284	NA	NA	906501.8592591471	1375329.5912235382	535286.7804191996	487331.33155733265	329479.29769453756	286763.1291019694	13596045.078462698	NA	1331487.6683977328	NA	2240009.3635487724	2123381.5554794925	1077087.2667639737	714198.0891199865	388272.66385411104	NA	609867.1602154122	536454.6072823608	3360331.5723553137	1718160.5412223157	2792540.6011205665	2094065.4449706129	591614.6466979088	531317.6707320338	2311295.7471361905	1209103.5256348848	1193336.897396951	1226732.857102275	NA	1336842.3056881616	1118325.5601906057	2333462.6661479683	972336.427796361	4723629.862398947	3268432.237808755	2610000.0586990346	813462.9267974423	586830.6711720795	745406.6039237144	303138.32368291874	NA	NA	NA	1563692.1107247144	404849.84438660165	1092499.5315866647	NA	459695.0765555607	423582.68145799055	1308704.3090794932	456284.78310297534
