From	To
D3DSM0	ITGB2
D3DTX6	PPP1R9B
D3YTA9	PPP3R1
D3YTI2	ACP1
D4PHA4	GPBP1
D6R941	KGD4
D6R9M0	KIF2A
D6RA24	PLAC8
D6RAM3	DOK3
D6RAN8	MRPL27
D6RB09	RPS3A
D6RC85	RAP1GDS1
D6RCR6	NNT
D6RD67	MCCC2
D6RD90	UBE2J2
D6RDA2	DEK
D6RDG3	BTF3
D6RDK6	OCIAD1
D6REM4	CSNK1A1
D6REQ6	RNASET2
D6REX3	SEC31A
D6RF23	RACK1
D6RF44	HNRNPD
D6RGE9	ATP2C1
D6RI10	SPINK2
D6RJF2	PAIP1
E5KLJ9	OPA1
E5RFI0	ITGB2
E5RFK7	UBR5
E5RG19	TMEM30A
E5RGA2	EIF3E
E5RHG9	UQCRB
E5RI98	NPM1
E5RJU9	MTDH
E5RJX4	PPP2CB
E5RK69	ANXA6
E7EN32	MEN1
E7END7	RAB1A
E7EP35	LRRC42
E7EPN9	PRRC2C
E7EQ06	CASP8
E7EQJ0	HNRNPH1
E7EQL5	DYNC1I2
E7EQT4	ACIN1
E7ERC4	SSB
E7ERS3	ZC3H18
E7ES33	SEPTIN7
E7ESX0	PRPF31
E7ETY2	TCOF1
E7EUI8	G6PD
E7EV10	MTA3
E7EV93	PCM1
E7EVA0	MAP4
E7EVS6	ACTB
E7EW49	CLASP2
E7EWD5	TSC22D3
E7EX70	POLR1E
E7EX73	EIF4G1
E7EX90	DCTN1
E9PAN7	RPS6KA1
E9PAV3	NACA
E9PB61	ALYREF
E9PBD8	LSP1
E9PBY3	GALNT7
E9PC69	MARK2
E9PCH5	CAST
E9PCY5	TOP2B
E9PE10	RAVER2
E9PEJ6	ATP11A
E9PEM5	LRBA
E9PF32	DENND3
E9PFP8	PCBP3
E9PGC8	MAP1A
E9PGM1	EIF4G1
E9PGM7	FAM13A
E9PGZ4	SACM1L
E9PHI4	SUN1
E9PIE4	MTCH2
E9PJD7	ZFTRAF1
E9PJL9	NDUFV1
E9PK06	EEF1D
E9PK54	HSPA8
E9PK91	BCLAF1
E9PKR8	SULT1A2
E9PKU7	GANAB
E9PL71	EEF1D
E9PL95	NCAPD3
E9PLP0	CARS1
E9PLV1	PRDM10
E9PMV1	PLEC
E9PMV2	HLA-DQA1
E9PN89	HSPA8
E9PP97	CHRNA6
E9PQG4	PDE4DIP
E9PQZ6	ASCC1
E9PR17	CD59
E9PR30	FAU
E9PRY8	EEF1D
E9PRZ0	MAP2K3
E9PSG1	CAST
E9PSG9	POLR2M
F1T0B3	DDX1
F1T0I1	SEC16A
F2Z2J1	RPS6KA2
F2Z2V0	CPNE1
F5GWX5	CHD4
F5GX51	RIPOR2
F5GX99	CLPB
F5GXC5	ITFG1
F5GXD1	AKAP7
F5GXE4	ATE1
F5GY88	MED24
F5GZ54	MCEE
F5GZG1	RAP1B
F5H053	PLBD1
F5H077	RAP1B
F5H0E2	SLC3A2
F5H0R1	TUT1
F5H100	GNB3
F5H199	MSRB3
F5H265	UBC
F5H269	DMXL1
F5H2F4	MTHFD1
F5H2I0	PRPF19
F5H3I6	FERMT3
F5H676	TCP1
F5H6I7	ATL3
F5H8D7	XRCC1
F6V2D4	LGALS8
F8VPF9	CS
F8VQZ7	METAP2
F8VRH0	PCBP2
F8VS19	ZNF844
F8VUJ3	POC1B-GALNT4
F8VVM2	SLC25A3
F8VWQ5	CS
F8VX04	SLC38A1
F8VXC8	SMARCC2
F8VXI7	DYNLL1
F8VZ70	SMARCD1
F8VZN8	PPP1R12A
F8VZX2	PCBP2
F8W0P7	ATP5F1B
F8W0Q9	PPHLN1
F8W543	NAP1L1
F8W785	GOLIM4
F8W7C6	RPL10
F8W8C2	VEZT
F8W950	AIMP2
F8WAZ6	PMPCB
F8WC89	SAC3D1
F8WD26	LMO7
F8WDR7	ACTR3
F8WE11	EIF4A2
F8WF16	PPHLN1
F8WF40	GLB1
G3V119	CCAR2
G3V1A6	GSDMD
G3V1N2	HBA1
G3V2H0	ERO1A
G3V325	ATP5MF-PTCD1
G3V3G9	PEX19
G3V3T3	ACIN1
G3V4C1	HNRNPC
G3V4T6	GSTZ1
G3V5E2	SCFD1
G3V5P5	FLVCR2
G3V5V7	HNRNPC
G3XAC1	SLC26A6
G3XAD2	FUT8
G3XAH0	SEPTIN5
G5E9Q7	IDH3G
G5E9W9	GIMAP4
G5E9Z2	CLPTM1L
G5EA09	SDCBP
G5EA30	CELF1
G5EA48	SRGAP1
G8JLA2	MYL6
G8JLD5	DNM1L
G9CGD6	CNK3/IPCEF1
H0Y2S9	MPRIP
H0Y390	MACF1
H0Y3K4	RBM33
H0Y4R8	SP100
H0Y4W2	TRRAP
H0Y517	CC2D1B
H0Y5F5	PABPC4
H0Y6A0	ARFGAP3
H0Y6G2	CAMK2G
H0Y704	ZNF185
H0Y720	TNRC6B
H0Y8U5	CTBP1
H0Y8W3	RGS14
H0Y8X4	DNPH1
H0Y9P3	CEP192
H0Y9S9	PPIP5K2
H0YB09	DGLUCY
H0YB92	CEP170
H0YC58	CCAR2
H0YCA6	ATPAF1
H0YCR7	RNH1
H0YCV5	TSEN15
H0YDM5	SLC27A3
H0YDT5	ACADM
H0YEH1	PICALM
H0YEM9	ZBTB44
H0YET9	ARRB1
H0YFC4	C2CD5
H0YFM9	PIGQ
H0YFY6	NUMA1
H0YG38	PRPF40A
H0YI37	ATP5F1B
H0YIZ1	NPC2
H0YJA2	ZC3H14
H0YJF2	MNAT1
H0YJW7	SLIRP
H0YKD0	IDH3A
H0YKK6	PSME1
H0YL33	ANXA2
H0YL52	TPM1
H0YLZ7	ZNF710
H0YM51	GOLM2
H0YNF5	IDH3A
H0YNW5	DUT
H3BMD2	CPT1A
H3BMQ0	TSC2
H3BNA2	CORO1A
H3BPE1	MACF1
H3BQQ9	UBE2I
H3BRN3	PML
H3BRN4	ABAT
H3BTH4	ADPGK
H3BTU6	CORO1A
H3BUB6	SCAMP2
H3BVF7	TMEM62
